rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
1,1,0,OLD,20150976,신과함께-죄와 벌,2017-12-20,7715149100,52.9,-853021100,-10,76065645532,916652,-107305,-10.5,9456147,1644,7957
2,2,0,OLD,20170590,1987,2017-12-27,4460462100,30.6,-224621200,-4.8,19714466137,531469,-28577,-5.1,2473546,1097,4982
3,3,0,OLD,20170402,강철비,2017-12-14,944228600,6.5,-48816300,-4.9,32939126166,114298,-6548,-5.4,4128591,602,1451
4,4,0,OLD,20179462,위대한 쇼맨,2017-12-20,509947700,3.5,25348100,5.2,7166974900,60070,2402,4.2,874655,432,843
5,5,0,OLD,20174965,극장판 포켓몬스터 너로 정했다!,2017-12-21,262886500,1.8,-7375400,-2.7,3380416200,34103,-1037,-3,449358,417,605
6,6,0,OLD,20176082,몬스터 패밀리,2017-12-21,205793300,1.4,4588900,2.3,2736976000,26521,128,0.5,368135,342,463
7,7,0,OLD,20176947,원더,2017-12-27,158549600,1.1,-12511700,-7.3,790939300,19322,-1612,-7.7,101002,183,378
8,8,0,OLD,20174846,뽀로로 극장판 공룡섬 대모험,2017-12-07,109207600,0.7,60400,0.1,5958096200,13750,-3,0,787493,195,270
9,9,0,OLD,20177479,극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리,2017-12-28,47882900,0.3,-4968200,-9.4,327731800,5940,-693,-10.4,42390,166,246
10,10,0,OLD,20170443,스타워즈: 라스트 제다이,2017-12-14,35090500,0.2,-4164800,-10.6,8570976561,3298,-357,-9.8,949845,35,42
1,1,0,OLD,20150976,신과함께-죄와 벌,2017-12-20,2205440800,44.5,-5509708300,-71.4,78271086332,294339,-622313,-67.9,9750486,1446,7019
2,2,0,OLD,20170590,1987,2017-12-27,1643436600,33.1,-2817025500,-63.2,21357902737,217247,-314222,-59.1,2690793,1063,5044
3,3,0,OLD,20170402,강철비,2017-12-14,358149600,7.2,-586079000,-62.1,33297275766,48122,-66176,-57.9,4176713,580,1541
4,4,0,OLD,20179462,위대한 쇼맨,2017-12-20,269239500,5.4,-240708200,-47.2,7436214400,35177,-24893,-41.4,909832,444,949
5,5,0,OLD,20174965,극장판 포켓몬스터 너로 정했다!,2017-12-21,123797500,2.5,-139089000,-52.9,3504213700,17929,-16174,-47.4,467287,371,510
6,6,0,OLD,20176082,몬스터 패밀리,2017-12-21,86870000,1.8,-118923300,-57.8,2823846000,12678,-13843,-52.2,380813,298,386
7,7,0,OLD,20176947,원더,2017-12-27,85593600,1.7,-72956000,-46,876532900,11397,-7925,-41,112399,173,512
8,8,0,OLD,20174846,뽀로로 극장판 공룡섬 대모험,2017-12-07,50359500,1.0,-58848100,-53.9,6008455700,7200,-6550,-47.6,794693,156,217
